iter	Passed	Remaining
0	4	441
1	7	347
2	9	311
3	11	265
4	12	246
5	14	229
6	16	212
7	17	204
8	19	194
9	20	183
10	21	174
11	22	167
12	23	160
13	25	154
14	26	148
15	27	143
16	28	137
17	29	132
18	29	127
19	30	123
20	31	119
21	32	115
22	33	112
23	34	108
24	35	105
25	36	102
26	36	99
27	37	97
28	38	94
29	39	92
30	40	90
31	41	88
32	42	86
33	43	84
34	44	81
35	45	80
36	45	78
37	46	76
38	47	74
39	48	72
40	49	71
41	49	68
42	50	67
43	51	65
44	52	64
45	53	62
46	54	61
47	55	59
48	56	58
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	66	41
62	67	39
63	68	38
64	70	37
65	70	36
66	71	35
67	72	34
68	73	33
69	75	32
70	76	31
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	99	3
97	100	2
98	101	1
99	102	0
